genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
UGT2A1,F1MW47,F1MW47_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
SULT1B1,Q3T0Y3,ST1B1_BOVIN,Sulfotransferase family cytosolic 1B member 1,SULT1B1,Bos taurus (Bovine),Reviewed,3'-phosphoadenosine 5'-phosphosulfate metabolic process epithelial cell differentiation ethanol catabolic process flavonoid metabolic process steroid metabolic process sulfation Gaudet P. thyroid hormone metabolic process xenobiotic metabolic process,"Lipid metabolism, Steroid metabolism",Transferase,
SULT1D1,E1BAC7,E1BAC7_BOVIN,Sulfotransferase family cytosolic 1B member 1,SULT1B1,Bos taurus (Bovine),Reviewed,3'-phosphoadenosine 5'-phosphosulfate metabolic process epithelial cell differentiation ethanol catabolic process flavonoid metabolic process steroid metabolic process sulfation Gaudet P. thyroid hormone metabolic process xenobiotic metabolic process,"Lipid metabolism, Steroid metabolism",Transferase,
SULT1E1,P19217,ST1E1_BOVIN,Sulfotransferase 1E1,SULT1E1,Bos taurus (Bovine),Reviewed,estrogen metabolic process sulfation Gaudet P.,,Transferase,"Lipid-binding, Steroid-binding"
LOC112447162,,,,,,,,,,
LOC112447092,,,,,,,,,,
LOC112447093,,,,,,,,,,
CSN1S1,P02662,CASA1_BOVIN,Alpha-S1-casein,CSN1S1,Bos taurus (Bovine),Reviewed,"negative regulation of apoptotic process Shimizu T. negative regulation of gene expression Shimizu T. negative regulation of supramolecular fiber organization Carrotta R. positive regulation of androst-4-ene-3,17-dione biosynthetic process Shimizu T. positive regulation of androstenedione secretion Shimizu T. positive regulation of progesterone biosynthetic process Shimizu T. positive regulation of progesterone secretion Shimizu T. protein stabilization Carrotta R. response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to growth hormone Sakamoto K. response to progesterone Shamay A.",,"Antioxidant, Milk protein",
CSN2,P02666,CASB_BOVIN,Beta-casein,CSN2,Bos taurus (Bovine),Reviewed,negative regulation of cysteine-type endopeptidase activity Ohashi A. negative regulation of I-kappaB kinase/NF-kappaB signaling Malinowski J. negative regulation of I-kappaB phosphorylation Malinowski J. negative regulation of inflammatory response Malinowski J. negative regulation of lactation Silanikove N. negative regulation of tumor necrosis factor-mediated signaling pathway Malinowski J. regulation of blood pressure response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to heat Silanikove N. response to progesterone Shamay A.,,"Antioxidant, Hypotensive agent, Metalloenzyme inhibitor, Metalloprotease inhibitor, Milk protein, Protease inhibitor",
HSTN,C6KGD8,HSTN_BOVIN,,,,,,,,
STATH,Q8HY86,STAT_BOVIN,Statherin,STATH,Bos taurus (Bovine),Reviewed,biomineral tissue development defense response to bacterium regulation of bone mineralization,Biomineralization,,
CSN1S2,P02663,CASA2_BOVIN,Alpha-S2-casein,CSN1S2,Bos taurus (Bovine),Reviewed,defense response to bacterium response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to growth hormone Sakamoto K. response to progesterone Shamay A.,,"Antibiotic, Antimicrobial, Milk protein",
LOC112447094,,,,,,,,,,
LOC100298118,,,,,,,,,,
LOC112447163,,,,,,,,,,
ODAM,A1YQ93,ODAM_BOVIN,Odontogenic ameloblast-associated protein,ODAM,Bos taurus (Bovine),Reviewed,biomineral tissue development inflammatory response odontogenesis of dentin-containing tooth Gaudet P. positive regulation of epithelial cell proliferation involved in wound healing positive regulation of gene expression positive regulation of GTPase activity positive regulation of protein phosphorylation regulation of actin cytoskeleton organization,Biomineralization,,
FDCSP,,,,,,,,,,
CSN3,P02668,CASK_BOVIN,Kappa-casein,CSN3,Bos taurus (Bovine),Reviewed,lactation Gaudet P. protein stabilization Gaudet P. response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to progesterone Shamay A.,,Milk protein,
LOC104968905,,,,,,,,,,
CABS1,Q2TBJ9,CABS1_BOVIN,Calcium-binding and spermatid-specific protein 1,CABS1,Bos taurus (Bovine),Reviewed,spermatogenesis Gaudet P.,,,Calcium
LOC101905137,,,,,,,,,,
LOC112447095,,,,,,,,,,
LOC787045,,,,,,,,,,
LOC104970052,,,,,,,,,,
MUC7,Q07537,GALT1_BOVIN,Polypeptide N-acetylgalactosaminyltransferase 1,GALNT1,Bos taurus (Bovine),Reviewed,protein O-linked glycosylation Elhammer A. protein O-linked glycosylation via serine protein O-linked glycosylation via threonine,,"Glycosyltransferase, Transferase","Lectin, Manganese, Metal-binding"
LOC100848253,,,,,,,,,,
AMTN,E1BF93,E1BF93_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC112447096,,,,,,,,,,
AMBN,Q9XSX7,AMBN_BOVIN,Ameloblastin,AMBN,Bos taurus (Bovine),Reviewed,biomineral tissue development cell adhesion Gaudet P. odontogenesis of dentin-containing tooth,Biomineralization,,
ENAM,P27628,TUFT1_BOVIN,Tuftelin,TUFT1,Bos taurus (Bovine),Reviewed,biomineral tissue development,Biomineralization,,
JCHAIN,P81265,PIGR_BOVIN,,,,,,,,
LOC101905786,,,,,,,,,,
UTP3,Q2KII6,NGDN_BOVIN,Neuroguidin,NGDN,Bos taurus (Bovine),Reviewed,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) Gaudet P. regulation of translation",Translation regulation,Repressor,
RUFY3,Q08E52,PAK1_BOVIN,Serine/threonine-protein kinase PAK 1,PAK1,Bos taurus (Bovine),Reviewed,actin cytoskeleton reorganization activation of protein kinase activity Gaudet P. apoptotic process branching morphogenesis of an epithelial tube cell migration cellular response to DNA damage stimulus chromatin remodeling exocytosis hepatocyte growth factor receptor signaling pathway negative regulation of cell proliferation involved in contact inhibition phosphorylation positive regulation of cell migration positive regulation of cell population proliferation positive regulation of intracellular estrogen receptor signaling pathway positive regulation of JUN kinase activity positive regulation of microtubule nucleation positive regulation of peptidyl-serine phosphorylation positive regulation of protein phosphorylation positive regulation of stress fiber assembly protein autophosphorylation protein phosphorylation regulation of axonogenesis Gaudet P. stress-activated protein kinase signaling cascade Gaudet P. wound healing,"Apoptosis, Exocytosis","Allosteric enzyme, Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Nucleotide-binding"
LOC112447097,,,,,,,,,,
GRSF1,Q2KI45,TM10C_BOVIN,tRNA methyltransferase 10 homolog C,TRMT10C,Bos taurus (Bovine),Reviewed,mitochondrial RNA 5'-end processing mitochondrial tRNA 5'-end processing mitochondrial tRNA processing mRNA methylation positive regulation of mitochondrial translation,tRNA processing,"Methyltransferase, Transferase",S-adenosyl-L-methionine
LOC112447098,,,,,,,,,,
MOB1B,A0A3Q1MBK1,A0A3Q1MBK1_BOVIN,tRNA methyltransferase 10 homolog C,TRMT10C,Bos taurus (Bovine),Reviewed,mitochondrial RNA 5'-end processing mitochondrial tRNA 5'-end processing mitochondrial tRNA processing mRNA methylation positive regulation of mitochondrial translation,tRNA processing,"Methyltransferase, Transferase",S-adenosyl-L-methionine
DCK,Q3MHR2,DCK_BOVIN,Deoxycytidine kinase,DCK,Bos taurus (Bovine),Reviewed,pyrimidine nucleotide metabolic process,,"Kinase, Transferase","ATP-binding, Nucleotide-binding"
LOC112447099,,,,,,,,,,
SLC4A4,Q9GL77,S4A4_BOVIN,Electrogenic sodium bicarbonate cotransporter 1,SLC4A4,Bos taurus (Bovine),Reviewed,bicarbonate transport Gaudet P. ion homeostasis Gaudet P. regulation of intracellular pH Gaudet P. sodium ion transport transmembrane transport Gaudet P.,"Ion transport, Sodium transport, Symport, Transport",,Sodium
LOC782958,,,,,,,,,,
GC,O02740,GUC2F_BOVIN,Retinal guanylyl cyclase 2,GUCY2F,Bos taurus (Bovine),Reviewed,intracellular signal transduction visual perception,"cGMP biosynthesis, Sensory transduction, Vision",Lyase,"GTP-binding, Nucleotide-binding"
NPFFR2,P79350,OPRM_BOVIN,Mu-type opioid receptor,OPRM1,Bos taurus (Bovine),Reviewed,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway negative regulation of cAMP-mediated signaling negative regulation of cytosolic calcium ion concentration negative regulation of nitric oxide biosynthetic process negative regulation of Wnt protein secretion opioid receptor signaling pathway phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of ERK1 and ERK2 cascade positive regulation of neurogenesis regulation of NMDA receptor activity sensory perception of pain,,"G-protein coupled receptor, Receptor, Transducer",
ADAMTS3,P79331,ATS2_BOVIN,A disintegrin and metalloproteinase with thrombospondin motifs 2,ADAMTS2,Bos taurus (Bovine),Reviewed,collagen biosynthetic process Fernandes R.J. collagen catabolic process collagen fibril organization Fernandes R.J. extracellular matrix organization Gaudet P. lung development protein processing Fernandes R.J. skin development spermatogenesis supramolecular fiber organization Fernandes R.J.,Collagen degradation,"Hydrolase, Metalloprotease, Protease","Metal-binding, Zinc"
LOC112447182,,,,,,,,,,
LOC112447164,,,,,,,,,,
COX18,P68530,COX2_BOVIN,,,,,,,,
ALBA,Q0II25,POP7_BOVIN,Ribonuclease P protein subunit p20,POP7,Bos taurus (Bovine),Reviewed,"RNA phosphodiester bond hydrolysis, endonucleolytic Gaudet P. rRNA processing tRNA 5'-leader removal tRNA processing Gaudet P.","rRNA processing, tRNA processing",Hydrolase,
AFP,P02769,ALBU_BOVIN,Albumin,ALB,Bos taurus (Bovine),Reviewed,cellular response to starvation maintenance of mitochondrion location negative regulation of apoptotic process,,,"Calcium, Copper, Lipid-binding, Metal-binding, Zinc"
AFM,G3MYZ3,AFAM_BOVIN,Afamin,AFM,Bos taurus (Bovine),Reviewed,protein stabilization Mihara E. protein transport within extracellular region vitamin transport Gaudet P.,"Protein transport, Transport",,
LOC100140503,G3MYZ3,AFAM_BOVIN,Afamin,AFM,Bos taurus (Bovine),Reviewed,protein stabilization Mihara E. protein transport within extracellular region vitamin transport Gaudet P.,"Protein transport, Transport",,
RASSF6,F1MDS2,F1MDS2_BOVIN,Afamin,AFM,Bos taurus (Bovine),Reviewed,protein stabilization Mihara E. protein transport within extracellular region vitamin transport Gaudet P.,"Protein transport, Transport",,
LOC112447100,,,,,,,,,,
LOC112447101,,,,,,,,,,
LOC107132573,,,,,,,,,,
CXCL8,P79255,IL8_BOVIN,Interleukin-8,CXCL8,Bos taurus (Bovine),Reviewed,antimicrobial humoral immune response mediated by antimicrobial peptide Gaudet P. cell cycle arrest cellular response to fibroblast growth factor stimulus cellular response to interleukin-1 cellular response to lipopolysaccharide Gaudet P. cellular response to tumor necrosis factor chemokine-mediated signaling pathway Gaudet P. embryonic digestive tract development induction of positive chemotaxis Caswell J.L. inflammatory response Gaudet P. intracellular signal transduction negative regulation of cell adhesion molecule production negative regulation of gene expression negative regulation of G protein-coupled receptor signaling pathway neutrophil activation Morsey M.A. neutrophil chemotaxis Caswell J.L. positive regulation of angiogenesis positive regulation of cellular biosynthetic process positive regulation of gene expression receptor internalization regulation of cell adhesion regulation of entry of bacterium into host cell regulation of single stranded viral RNA replication via double stranded DNA intermediate response to endoplasmic reticulum stress,"Chemotaxis, Inflammatory response",Cytokine,
LOC534181,A0A3Q1MUV7,A0A3Q1MUV7_BOVIN,Interleukin-8,CXCL8,Bos taurus (Bovine),Reviewed,antimicrobial humoral immune response mediated by antimicrobial peptide Gaudet P. cell cycle arrest cellular response to fibroblast growth factor stimulus cellular response to interleukin-1 cellular response to lipopolysaccharide Gaudet P. cellular response to tumor necrosis factor chemokine-mediated signaling pathway Gaudet P. embryonic digestive tract development induction of positive chemotaxis Caswell J.L. inflammatory response Gaudet P. intracellular signal transduction negative regulation of cell adhesion molecule production negative regulation of gene expression negative regulation of G protein-coupled receptor signaling pathway neutrophil activation Morsey M.A. neutrophil chemotaxis Caswell J.L. positive regulation of angiogenesis positive regulation of cellular biosynthetic process positive regulation of gene expression receptor internalization regulation of cell adhesion regulation of entry of bacterium into host cell regulation of single stranded viral RNA replication via double stranded DNA intermediate response to endoplasmic reticulum stress,"Chemotaxis, Inflammatory response",Cytokine,
